Name,Image URL / Path,UPC,Accuracy
Lay's Sour Cream & Onion Potato Chips,imgs/1.jpeg,60410047279,0.85255152
Lay's Lightly Salted Potato Chips,imgs/2.jpeg,60410047118,0.872412741
Ruffles Lightly Salted Chips,imgs/3.jpeg,60410047224,0.837934911
Lay's Barbecue Flavor Potato Chips,imgs/4.jpeg,60410047491,0.877062082
Ruffles Sour Cream & Onion Chips,imgs/5.jpeg,60410047248,0.823029876
Lay's Salt & Vinegar Potato Chips,imgs/6.jpeg,60410047545,0.846963108
Lay's Magic Masala Potato Chips,imgs/7.jpeg,60410056264,0.865334868
Ruffles Sour Cream & Bacon Flavored Potato Chips,imgs/8.jpeg,60410047255,0.830778778
Ruffles Cheddar & Sour Cream Chip,imgs/9.jpeg,60410075098,0.828920901
Ruffles Sour Cream & Onion Chips,imgs/10.jpeg,60410047248,0.823029876
